id,breed_primary,age,sex,size,env_children,env_dogs,env_cats,contact_state
46037762,Chihuahua,Senior,Female,Small,NA,TRUE,NA,NV
46037742,Cocker Spaniel,Senior,Male,Medium,NA,NA,NA,NV
46037637,German Shepherd Dog,Adult,Male,Large,NA,NA,NA,NV
46037534,Pit Bull Terrier,Senior,Male,Large,TRUE,TRUE,TRUE,NV
46036459,Boxer,Young,Male,Large,NA,NA,NA,NV
46035351,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
46035350,Chihuahua,Adult,Male,Small,NA,NA,NA,NV
46035353,Dachshund,Adult,Male,Small,NA,NA,NA,NV
46035346,Chihuahua,Young,Male,Small,NA,NA,NA,NV
46035344,Pug,Young,Male,Medium,NA,NA,NA,NV
46035342,Terrier,Adult,Male,Small,NA,NA,NA,NV
46034532,Labrador Retriever,Young,Female,Medium,FALSE,TRUE,NA,NV
46033962,German Shepherd Dog,Adult,Male,Large,NA,NA,NA,NV
46032651,Pit Bull Terrier,Senior,Female,Medium,NA,TRUE,NA,NV
46032592,Dachshund,Adult,Male,Small,NA,NA,NA,NV
46032594,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
46032595,Pit Bull Terrier,Young,Female,Large,NA,NA,NA,NV
46032596,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
46032588,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
46032587,Pit Bull Terrier,Young,Male,Large,NA,NA,NA,NV
46032589,Australian Cattle Dog / Blue Heeler,Young,Female,Medium,NA,NA,NA,NV
46032253,Poodle,Adult,Female,Small,NA,NA,NA,NV
46031946,Terrier,Young,Male,Small,FALSE,NA,NA,AZ
46031507,American Bulldog,Adult,Male,Large,NA,NA,NA,AZ
46031797,Mastiff,Young,Male,Large,NA,NA,NA,NV
46031796,Chihuahua,Young,Male,Small,NA,NA,NA,NV
46029444,Labrador Retriever,Young,Male,Medium,NA,FALSE,FALSE,NV
46029446,Terrier,Senior,Male,Small,FALSE,NA,NA,NV
46028152,Chihuahua,Baby,Male,Small,NA,TRUE,NA,NV
46027977,Chihuahua,Baby,Female,Small,NA,TRUE,NA,NV
46027945,Chihuahua,Baby,Male,Small,NA,TRUE,NA,NV
46027921,Chihuahua,Baby,Female,Small,NA,TRUE,NA,NV
46027872,Chihuahua,Young,Female,Small,NA,TRUE,NA,NV
46027804,Husky,Baby,Female,Large,FALSE,TRUE,NA,NV
46027303,Pit Bull Terrier,Young,Female,Medium,NA,NA,NA,NV
46026629,Poodle,Young,Female,Small,NA,TRUE,NA,NV
46026616,Terrier,Baby,Male,Small,NA,TRUE,NA,NV
46026600,Chihuahua,Baby,Female,Small,NA,TRUE,NA,NV
46026454,Chihuahua,Baby,Female,Small,NA,TRUE,NA,NV
46026507,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
46026395,Cocker Spaniel,Adult,Male,Medium,NA,NA,NA,NV
46026306,Staffordshire Bull Terrier,Baby,Female,Large,NA,TRUE,NA,NV
46026195,Poodle,Senior,Male,Small,NA,TRUE,NA,NV
46026170,Chihuahua,Young,Male,Small,FALSE,TRUE,NA,NV
46025014,Jindo,Baby,Male,Medium,TRUE,TRUE,NA,NV
46024779,Corgi,Young,Female,Small,TRUE,TRUE,NA,NV
46024627,Chihuahua,Senior,Female,Small,TRUE,TRUE,NA,NV
46023420,American Bulldog,Adult,Male,Large,NA,NA,NA,NV
46021809,German Shepherd Dog,Young,Female,Large,NA,NA,NA,NV
46021807,Pit Bull Terrier,Young,Female,Large,NA,NA,NA,NV
46020352,Shar-Pei,Adult,Female,Large,NA,NA,NA,AZ
46020343,Pit Bull Terrier,Baby,Female,Large,TRUE,TRUE,NA,AZ
46020326,Shar-Pei,Adult,Female,Medium,NA,FALSE,NA,AZ
46020312,Shepherd,Young,Male,Large,NA,NA,NA,AZ
46020301,Shepherd,Young,Female,Medium,NA,NA,NA,AZ
46020258,Hound,Adult,Male,Medium,NA,NA,NA,AZ
46020245,Jack Russell Terrier,Baby,Male,Medium,TRUE,TRUE,NA,AZ
46020236,Retriever,Adult,Male,Medium,TRUE,TRUE,NA,AZ
46020230,Hound,Adult,Female,Medium,TRUE,TRUE,NA,AZ
46015991,Pit Bull Terrier,Young,Male,Large,NA,NA,NA,NV
46015398,Pit Bull Terrier,Young,Female,Medium,NA,NA,NA,NV
46015218,Chihuahua,Young,Female,Small,TRUE,TRUE,TRUE,NV
46012741,Chihuahua,Young,Male,Small,NA,NA,NA,NV
46012739,Siberian Husky,Young,Male,Medium,NA,NA,NA,NV
46012718,Pit Bull Terrier,Adult,Female,Large,TRUE,TRUE,NA,NV
46010922,Pit Bull Terrier,Young,Female,Large,NA,NA,NA,NV
46010921,American Bulldog,Adult,Female,Large,NA,NA,NA,NV
46010919,Terrier,Young,Female,Small,NA,NA,NA,NV
46010918,Pit Bull Terrier,Young,Female,Large,NA,NA,NA,NV
46008181,Pit Bull Terrier,Adult,Female,Large,NA,NA,NA,NV
46007891,Chihuahua,Baby,Male,Small,NA,TRUE,NA,NV
46007288,Pit Bull Terrier,Adult,Female,Medium,NA,NA,NA,NV
46005760,Maltese,Adult,Female,Small,NA,TRUE,NA,NV
46005576,German Shepherd Dog,Adult,Male,Large,TRUE,TRUE,NA,NV
46005725,Siberian Husky,Young,Male,Large,TRUE,TRUE,NA,NV
46005633,Maltese,Baby,Female,Small,TRUE,TRUE,TRUE,NV
46005567,Maltese,Baby,Male,Small,TRUE,TRUE,TRUE,NV
46005531,Maltese,Baby,Female,Small,TRUE,TRUE,TRUE,NV
45989641,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
45988823,Terrier,Young,Male,Small,NA,NA,NA,NV
45988816,Pit Bull Terrier,Adult,Female,Medium,NA,NA,NA,NV
45988814,Chihuahua,Adult,Male,Small,NA,NA,NA,NV
45987766,Black Labrador Retriever,Baby,Female,Large,NA,TRUE,NA,AZ
45987322,Akita,Young,Female,Medium,NA,NA,NA,NV
45985729,Pit Bull Terrier,Adult,Female,Medium,NA,NA,NA,NV
45984048,Pit Bull Terrier,Young,Male,Large,NA,NA,NA,NV
45983456,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45982562,Chihuahua,Young,Female,Small,NA,TRUE,NA,NV
45982546,Terrier,Young,Female,Small,NA,TRUE,NA,NV
45982553,Schnauzer,Baby,Female,Small,TRUE,TRUE,NA,NV
45982538,Pit Bull Terrier,Young,Female,Medium,NA,TRUE,NA,NV
45981407,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
45981405,Chow Chow,Adult,Female,Medium,NA,NA,NA,NV
45980158,Chihuahua,Adult,Male,Small,NA,NA,NA,NV
45980154,Chihuahua,Adult,Male,Small,NA,NA,NA,NV
45979793,Akita,Adult,Male,Large,NA,NA,NA,NV
45979787,Schnauzer,Adult,Male,Medium,NA,NA,NA,NV
45979784,Pit Bull Terrier,Young,Male,Large,NA,NA,NA,NV
45979783,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45978432,Redbone Coonhound,Adult,Male,Large,NA,NA,NA,NV
45975578,Chihuahua,Adult,Female,Small,NA,TRUE,NA,NV
45975544,Chihuahua,Adult,Male,Small,NA,TRUE,NA,NV
45975178,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
45975175,Chihuahua,Adult,Male,Small,NA,NA,NA,NV
45973102,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45973113,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
45973097,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
45973088,Chihuahua,Young,Female,Small,NA,NA,NA,NV
45973081,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45967088,Chihuahua,Adult,Female,Small,TRUE,TRUE,NA,NV
45966541,Giant Schnauzer,Adult,Female,Large,NA,TRUE,FALSE,NV
45966538,Terrier,Young,Male,Small,TRUE,TRUE,TRUE,NV
45966526,Labrador Retriever,Young,Female,Medium,NA,TRUE,TRUE,NV
45966461,Terrier,Young,Female,Small,TRUE,TRUE,NA,NV
45962677,Mastiff,Young,Male,Large,NA,NA,NA,NV
45962675,Pit Bull Terrier,Young,Male,Large,NA,NA,NA,NV
45961141,Labrador Retriever,Adult,Male,Large,NA,NA,NA,AZ
45959652,Redbone Coonhound,Young,Male,Large,NA,NA,NA,NV
45957822,Miniature Pinscher,Young,Male,Small,TRUE,TRUE,NA,NV
45956950,Boxer,Young,Male,Large,NA,NA,NA,AZ
45956409,Bichon Frise,Senior,Female,Small,NA,TRUE,NA,NV
45956384,Pit Bull Terrier,Adult,Male,Large,NA,TRUE,NA,NV
45955609,Dachshund,Young,Male,Small,NA,TRUE,NA,NV
45955503,Chihuahua,Young,Male,Small,NA,TRUE,NA,NV
45955392,Miniature Pinscher,Adult,Male,Small,NA,NA,NA,NV
45955309,Shepherd,Baby,Male,Medium,NA,TRUE,NA,NV
45955292,Wirehaired Terrier,Young,Male,Small,NA,TRUE,NA,NV
45948995,Cattle Dog,Young,Female,Medium,TRUE,TRUE,NA,AZ
45948988,Cattle Dog,Young,Female,Medium,TRUE,TRUE,NA,AZ
45948983,Mastiff,Young,Male,Large,TRUE,TRUE,NA,AZ
45948074,Corgi,Adult,Female,Small,NA,NA,NA,NV
45948073,Chihuahua,Adult,Male,Small,NA,NA,NA,NV
45946828,Chihuahua,Young,Male,Small,TRUE,TRUE,FALSE,NV
45946783,Belgian Shepherd / Malinois,Baby,Male,Large,NA,TRUE,NA,NV
45945669,Pit Bull Terrier,Baby,Female,Medium,NA,TRUE,NA,NV
45945618,Dachshund,Young,Female,Small,NA,TRUE,NA,NV
45945609,Chihuahua,Young,Male,Small,NA,TRUE,NA,NV
45945344,Dachshund,Adult,Male,Small,NA,TRUE,NA,NV
45945119,Jack Russell Terrier,Young,Female,Small,FALSE,TRUE,NA,NV
45945109,Jack Russell Terrier,Young,Female,Small,FALSE,TRUE,NA,NV
45944294,Labrador Retriever,Young,Male,Medium,NA,NA,NA,AZ
45944275,Shar-Pei,Adult,Female,Large,NA,NA,NA,AZ
45943335,German Shepherd Dog,Senior,Female,Large,NA,TRUE,NA,NV
45942310,Labrador Retriever,Adult,Female,Large,NA,TRUE,NA,NV
45935433,Dachshund,Young,Male,Small,NA,TRUE,NA,NV
45935416,Terrier,Baby,Male,Small,NA,TRUE,NA,NV
45935404,Chihuahua,Baby,Female,Small,NA,TRUE,NA,NV
45931876,Beagle,Adult,Male,Medium,NA,NA,NA,NV
45929513,Pit Bull Terrier,Young,Male,Medium,NA,NA,NA,NV
45929506,Cane Corso,Adult,Female,Large,NA,NA,NA,NV
45924406,Shepherd,Adult,Female,Medium,TRUE,TRUE,NA,AZ
45924352,Boxer,Adult,Female,Medium,TRUE,FALSE,NA,AZ
45924259,Saint Bernard,Baby,Male,Large,TRUE,TRUE,NA,AZ
45924189,Dogo Argentino,Adult,Male,Large,NA,NA,NA,AZ
45924145,Pit Bull Terrier,Adult,Male,Medium,NA,NA,NA,AZ
45923620,German Shepherd Dog,Baby,Male,Large,NA,NA,NA,NV
45923614,German Shepherd Dog,Adult,Male,Large,NA,NA,NA,NV
45923611,German Shepherd Dog,Young,Female,Large,NA,NA,NA,NV
45923603,German Shepherd Dog,Baby,Male,Medium,NA,NA,NA,NV
45923600,German Shepherd Dog,Baby,Male,Medium,NA,NA,NA,NV
45923317,Pit Bull Terrier,Baby,Female,Large,TRUE,TRUE,NA,NV
45922564,Pit Bull Terrier,Young,Female,Medium,NA,NA,NA,NV
45919405,Catahoula Leopard Dog,Adult,Female,Medium,NA,NA,NA,NV
45917309,Pit Bull Terrier,Young,Male,Large,NA,NA,NA,NV
45917305,Pit Bull Terrier,Young,Male,Medium,NA,NA,NA,NV
45917298,Catahoula Leopard Dog,Young,Male,Large,NA,NA,NA,NV
45911260,Chihuahua,Adult,Male,Small,NA,NA,NA,NV
45911262,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
45910994,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45910880,Doberman Pinscher,Adult,Female,Large,NA,TRUE,NA,NV
45910871,Doberman Pinscher,Senior,Male,Medium,TRUE,TRUE,NA,NV
45910854,Doberman Pinscher,Senior,Male,Large,NA,NA,NA,NV
45909761,Chihuahua,Senior,Male,Small,NA,TRUE,NA,NV
45909739,Chihuahua,Senior,Male,Small,NA,TRUE,NA,NV
45909727,Chihuahua,Adult,Female,Small,NA,TRUE,NA,NV
45909676,Terrier,Adult,Female,Small,NA,TRUE,NA,NV
45909613,Terrier,Senior,Male,Small,NA,TRUE,NA,NV
45909537,Chihuahua,Senior,Male,Small,NA,TRUE,NA,NV
45909432,Chihuahua,Adult,Male,Small,NA,TRUE,NA,NV
45909359,Chihuahua,Senior,Male,Small,NA,TRUE,NA,NV
45909239,Maltese,Adult,Male,Small,NA,TRUE,NA,NV
45909021,Chihuahua,Adult,Male,Small,NA,TRUE,NA,NV
45909014,Chihuahua,Adult,Male,Small,NA,TRUE,NA,NV
45909000,Chihuahua,Senior,Female,Small,NA,TRUE,NA,NV
45908992,Chihuahua,Young,Male,Small,NA,TRUE,NA,NV
45908932,Jack Russell Terrier,Adult,Male,Small,NA,TRUE,NA,NV
45908759,Chihuahua,Adult,Female,Small,NA,TRUE,NA,NV
45908725,Yorkshire Terrier,Young,Female,Small,NA,TRUE,NA,NV
45908485,Pomeranian,Adult,Male,Small,NA,TRUE,NA,NV
45903125,Shepherd,Adult,Female,Large,NA,TRUE,NA,NV
45901985,Collie,Baby,Male,Large,NA,NA,NA,NV
45901986,Collie,Baby,Female,Large,NA,NA,NA,NV
45901989,Collie,Baby,Female,Large,NA,NA,NA,NV
45901991,Collie,Baby,Male,Large,NA,NA,NA,NV
45901992,Collie,Baby,Male,Large,NA,NA,NA,NV
45901994,Collie,Baby,Male,Large,NA,NA,NA,NV
45901995,Collie,Baby,Male,Large,NA,NA,NA,NV
45901996,Collie,Baby,Female,Large,NA,NA,NA,NV
45901993,Collie,Baby,Male,Large,NA,NA,NA,NV
45901987,Collie,Baby,Male,Large,NA,NA,NA,NV
45901468,Chihuahua,Adult,Female,Small,TRUE,TRUE,NA,NV
45899886,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45899881,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45894467,Shepherd,Young,Female,Medium,TRUE,NA,TRUE,NV
45894420,Shar-Pei,Young,Female,Medium,TRUE,NA,TRUE,NV
45894011,Pit Bull Terrier,Adult,Female,Large,NA,NA,NA,AZ
45893703,Rat Terrier,Senior,Female,Medium,NA,NA,NA,AZ
45892818,Pit Bull Terrier,Young,Female,Medium,TRUE,NA,FALSE,NV
45892807,Australian Shepherd,Young,Female,Medium,TRUE,TRUE,NA,NV
45892791,Jack Russell Terrier,Young,Male,Small,TRUE,TRUE,FALSE,NV
45892773,Irish Terrier,Adult,Male,Small,TRUE,TRUE,TRUE,NV
45892741,Yorkshire Terrier,Senior,Male,Small,TRUE,TRUE,TRUE,NV
45892721,Cairn Terrier,Adult,Female,Small,TRUE,TRUE,TRUE,NV
45892436,Australian Cattle Dog / Blue Heeler,Adult,Female,Large,FALSE,TRUE,FALSE,NV
45892461,Pit Bull Terrier,Young,Male,Large,NA,NA,NA,NV
45892251,American Staffordshire Terrier,Adult,Male,Medium,NA,FALSE,FALSE,NV
45892260,Pit Bull Terrier,Adult,Female,Large,TRUE,FALSE,FALSE,NV
45888002,Shih Tzu,Senior,Male,Small,TRUE,TRUE,NA,NV
45887879,Shih Tzu,Senior,Female,Small,TRUE,TRUE,TRUE,NV
45887106,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45881556,Pit Bull Terrier,Adult,Male,Medium,TRUE,TRUE,NA,AZ
45877791,Pit Bull Terrier,Adult,Female,Large,NA,NA,NA,NV
45871975,Pit Bull Terrier,Adult,Female,Medium,NA,FALSE,FALSE,NV
45869315,German Shepherd Dog,Baby,Female,Medium,NA,TRUE,TRUE,NV
45869301,Pomeranian,Senior,Male,Small,NA,TRUE,NA,NV
45866890,Terrier,Adult,Female,Small,FALSE,FALSE,NA,NV
45866703,American Staffordshire Terrier,Young,Female,Medium,TRUE,TRUE,TRUE,NV
45862018,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45862011,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45855897,Pomeranian,Adult,Male,Medium,NA,NA,NA,NV
45855747,Lhasa Apso,Adult,Male,Small,NA,NA,NA,NV
45852639,Chihuahua,Young,Male,Small,NA,NA,NA,AZ
45848450,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45844125,American Bulldog,Young,Male,Large,NA,NA,NA,NV
45841113,Mastiff,Adult,Male,Large,NA,NA,NA,NV
45841108,American Bulldog,Young,Male,Large,NA,NA,NA,NV
45841101,American Bulldog,Young,Female,Medium,NA,NA,NA,NV
45841088,Labrador Retriever,Adult,Female,Large,NA,NA,NA,NV
45841086,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45837065,Pit Bull Terrier,Young,Female,Medium,NA,NA,NA,NV
45837033,German Shepherd Dog,Young,Female,Medium,NA,TRUE,NA,NV
45834738,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45834577,Beagle,Young,Male,Medium,NA,TRUE,NA,NV
45833041,German Shepherd Dog,Senior,Female,Large,NA,NA,NA,NV
45831833,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
45831517,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45828975,Cattle Dog,Young,Female,Medium,TRUE,TRUE,TRUE,NV
45828232,Chihuahua,Adult,Female,Small,NA,TRUE,NA,NV
45828120,Australian Shepherd,Adult,Female,Medium,NA,TRUE,NA,NV
45821788,Boxer,Adult,Male,Large,FALSE,FALSE,FALSE,NV
45821826,Mixed Breed,Senior,Male,Medium,NA,NA,NA,NV
45821772,Shar-Pei,Adult,Female,Large,FALSE,FALSE,FALSE,NV
45807576,Mastiff,Adult,Female,Large,NA,FALSE,FALSE,NV
45807578,Husky,Young,Female,Large,NA,NA,NA,NV
45807581,Cattle Dog,Adult,Female,Medium,NA,NA,NA,NV
45807582,Chihuahua,Adult,Male,Small,NA,NA,NA,NV
45807583,Chihuahua,Adult,Male,Small,NA,NA,NA,NV
45807584,Australian Shepherd,Young,Female,Medium,NA,NA,NA,NV
45807585,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
45807587,Labrador Retriever,Adult,Female,Medium,NA,NA,NA,NV
45807586,Boxer,Adult,Female,Large,NA,NA,NA,NV
45807573,Brittany Spaniel,Adult,Male,Medium,NA,FALSE,NA,NV
45797757,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45797240,Pit Bull Terrier,Young,Male,Medium,NA,NA,NA,NV
45797231,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45791070,Retriever,Young,Female,Medium,NA,TRUE,TRUE,NV
45790688,Shepherd,Young,Male,Medium,NA,NA,NA,NV
45790601,Saint Bernard,Adult,Female,Large,NA,TRUE,NA,NV
45790237,Labrador Retriever,Young,Female,Large,NA,TRUE,NA,NV
45778237,English Bulldog,Adult,Male,Medium,NA,TRUE,NA,NV
45772624,Akita,Adult,Male,Large,NA,NA,NA,NV
45770150,Pit Bull Terrier,Adult,Female,Large,NA,NA,NA,NV
45767602,Coonhound,Baby,Male,Large,TRUE,TRUE,NA,NV
45767058,Chihuahua,Adult,Male,Small,NA,TRUE,NA,NV
45767029,Cocker Spaniel,Adult,Male,Small,NA,TRUE,NA,NV
45767023,Chihuahua,Young,Male,Small,NA,TRUE,NA,NV
45766722,Saint Bernard,Young,Male,Medium,NA,NA,NA,NV
45766515,Labrador Retriever,Young,Male,Medium,NA,NA,NA,NV
45766651,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45760101,Terrier,Adult,Male,Medium,TRUE,TRUE,NA,NV
45759936,Pit Bull Terrier,Adult,Female,Large,NA,NA,NA,NV
45755163,Terrier,Young,Female,Medium,TRUE,TRUE,TRUE,NV
45755148,Rat Terrier,Adult,Female,Small,TRUE,TRUE,TRUE,NV
45755134,Great Dane,Adult,Male,Large,TRUE,TRUE,NA,NV
45754572,Australian Shepherd,Adult,Male,Medium,NA,NA,NA,NV
45751169,Terrier,Young,Female,Medium,TRUE,FALSE,FALSE,NV
45748689,Pit Bull Terrier,Adult,Female,Medium,NA,NA,NA,NV
45748573,Labrador Retriever,Young,Male,Medium,TRUE,TRUE,NA,AZ
45748545,Labrador Retriever,Young,Male,Large,TRUE,TRUE,NA,AZ
45748504,Labrador Retriever,Young,Male,Medium,NA,NA,NA,AZ
45745473,Border Collie,Adult,Female,Medium,TRUE,TRUE,TRUE,NV
45745442,Chihuahua,Baby,Male,Small,TRUE,TRUE,TRUE,NV
45745137,German Shepherd Dog,Young,Male,Large,NA,TRUE,NA,NV
45745132,Chihuahua,Young,Male,Small,TRUE,TRUE,TRUE,NV
45745122,Cairn Terrier,Senior,Male,Small,TRUE,TRUE,TRUE,NV
45745098,Siberian Husky,Baby,Male,Large,TRUE,TRUE,NA,NV
45745093,German Shepherd Dog,Adult,Female,Large,NA,TRUE,NA,NV
45745087,Jack Russell Terrier,Young,Female,Small,TRUE,TRUE,TRUE,NV
45745084,Miniature Pinscher,Adult,Female,Small,TRUE,NA,NA,NV
45745080,Miniature Pinscher,Adult,Male,Small,TRUE,NA,NA,NV
45745065,Pit Bull Terrier,Adult,Female,Medium,TRUE,TRUE,TRUE,NV
45744166,Chihuahua,Adult,Male,Small,TRUE,TRUE,TRUE,NV
45733265,German Shepherd Dog,Senior,Female,Medium,NA,NA,NA,NV
45733259,Pit Bull Terrier,Adult,Female,Large,NA,NA,NA,NV
45728306,Chihuahua,Adult,Female,Small,NA,TRUE,NA,NV
45727282,Italian Greyhound,Young,Female,Small,TRUE,TRUE,TRUE,NV
45715803,Pit Bull Terrier,Adult,Male,Medium,NA,NA,NA,NV
45710620,Terrier,Adult,Male,Small,TRUE,TRUE,NA,NV
45709771,Pit Bull Terrier,Adult,Female,Large,NA,NA,NA,NV
45705794,Pit Bull Terrier,Adult,Female,Medium,TRUE,TRUE,FALSE,NV
45705778,German Shepherd Dog,Young,Female,Large,TRUE,TRUE,NA,NV
45700294,Pointer,Baby,Female,Medium,TRUE,TRUE,NA,NV
45700110,Mixed Breed,Adult,Female,Large,TRUE,NA,NA,NV
45692092,Shar-Pei,Adult,Male,Medium,TRUE,TRUE,FALSE,NV
45692052,Shepherd,Adult,Male,Medium,NA,TRUE,NA,NV
45691956,Chihuahua,Senior,Male,Small,NA,TRUE,NA,NV
45691692,Dachshund,Baby,Female,Small,TRUE,TRUE,TRUE,NV
45674734,Pointer,Baby,Female,Large,TRUE,TRUE,FALSE,NV
45667997,Mixed Breed,Adult,Male,Small,NA,TRUE,NA,NV
45666953,Poodle,Adult,Female,Small,TRUE,TRUE,NA,NV
45666935,Yorkshire Terrier,Adult,Male,Small,TRUE,TRUE,NA,NV
45650124,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
45648835,Pit Bull Terrier,Adult,Male,Medium,NA,NA,NA,NV
45633217,Chihuahua,Adult,Female,Small,TRUE,TRUE,TRUE,NV
45633206,Husky,Young,Male,Large,TRUE,TRUE,FALSE,NV
45621645,American Staffordshire Terrier,Young,Female,Medium,TRUE,TRUE,NA,NV
45621638,American Staffordshire Terrier,Adult,Female,Medium,TRUE,TRUE,NA,NV
45621634,American Staffordshire Terrier,Adult,Female,Medium,TRUE,TRUE,NA,NV
45613458,Pit Bull Terrier,Adult,Female,Medium,NA,NA,NA,NV
45612989,Pit Bull Terrier,Adult,Male,Large,TRUE,FALSE,TRUE,NV
45612968,Pit Bull Terrier,Young,Female,Large,TRUE,TRUE,NA,NV
45612886,Pit Bull Terrier,Young,Female,Medium,TRUE,TRUE,NA,NV
45604798,Beagle,Adult,Male,Small,NA,TRUE,NA,NV
45600601,German Shepherd Dog,Senior,Female,Extra Large,TRUE,TRUE,TRUE,NV
45593879,Labrador Retriever,Adult,Male,Large,TRUE,TRUE,TRUE,NV
45590258,Beagle,Adult,Male,Medium,NA,TRUE,NA,NV
45588556,Pit Bull Terrier,Adult,Male,Extra Large,NA,NA,NA,NV
45587734,Boxer,Young,Male,Large,NA,NA,NA,NV
45586771,Pit Bull Terrier,Adult,Female,Medium,NA,NA,NA,NV
45583244,Mixed Breed,Young,Male,Medium,TRUE,TRUE,TRUE,AZ
45578885,American Bulldog,Adult,Male,Large,FALSE,FALSE,NA,NV
45573151,Chihuahua,Senior,Male,Small,NA,TRUE,NA,NV
45572525,Labrador Retriever,Baby,Female,Large,TRUE,TRUE,NA,AZ
45565250,Boxer,Young,Male,Medium,NA,TRUE,NA,NV
45565182,English Bulldog,Young,Female,Medium,NA,NA,NA,NV
45564932,Husky,Adult,Male,Medium,FALSE,TRUE,TRUE,NV
45558264,Cairn Terrier,Young,Male,Small,TRUE,TRUE,TRUE,NV
45551876,German Shepherd Dog,Senior,Female,Large,NA,TRUE,NA,NV
45523763,Chihuahua,Young,Male,Small,NA,TRUE,NA,NV
45523751,Pug,Adult,Male,Small,NA,TRUE,NA,NV
45513605,Chihuahua,Adult,Male,Small,TRUE,TRUE,TRUE,NV
45513431,Terrier,Adult,Male,Small,TRUE,TRUE,TRUE,NV
45510523,Chihuahua,Adult,Female,Small,NA,NA,NA,NV
45501366,Retriever,Adult,Male,Medium,NA,TRUE,NA,NV
45501300,Staffordshire Bull Terrier,Adult,Male,Large,NA,TRUE,NA,NV
45501044,Terrier,Senior,Male,Small,NA,TRUE,NA,NV
